starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	0	6	0
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	1	6	1
Sat Jun 15 20:04:44 2024	1718481884	5	1	7	1
Sat Jun 15 20:04:44 2024	1718481884	5	2	7	2
Sat Jun 15 20:04:44 2024	1718481884	5	2	7	2
Sat Jun 15 20:04:44 2024	1718481884	5	2	7	2
Sat Jun 15 20:04:44 2024	1718481884	5	2	7	2
Sat Jun 15 20:04:44 2024	1718481884	5	3	8	3
Sat Jun 15 20:04:44 2024	1718481884	5	3	8	3
Sat Jun 15 20:04:44 2024	1718481884	5	3	8	3
Sat Jun 15 20:04:44 2024	1718481884	5	3	8	3
Sat Jun 15 20:04:44 2024	1718481884	5	4	9	4
Sat Jun 15 20:04:44 2024	1718481884	5	4	9	4
Sat Jun 15 20:04:44 2024	1718481884	5	4	9	4
Sat Jun 15 20:04:44 2024	1718481884	5	4	9	4
Sat Jun 15 20:04:44 2024	1718481884	5	5	10	5
Sat Jun 15 20:04:44 2024	1718481884	5	5	10	5
Sat Jun 15 20:04:44 2024	1718481884	5	5	10	5
Sat Jun 15 20:04:44 2024	1718481884	5	5	11	5
Sat Jun 15 20:04:44 2024	1718481884	5	6	11	6
Sat Jun 15 20:04:44 2024	1718481884	5	6	11	6
Sat Jun 15 20:04:44 2024	1718481884	5	6	11	6
Sat Jun 15 20:04:44 2024	1718481884	5	7	12	7
Sat Jun 15 20:04:44 2024	1718481884	5	7	12	7
Sat Jun 15 20:04:44 2024	1718481884	5	7	12	7
Sat Jun 15 20:04:44 2024	1718481884	5	7	12	7
Sat Jun 15 20:04:44 2024	1718481884	5	8	13	8
Sat Jun 15 20:04:44 2024	1718481884	5	8	13	8
Sat Jun 15 20:04:44 2024	1718481884	5	8	13	8
Sat Jun 15 20:04:44 2024	1718481884	5	8	13	8
Sat Jun 15 20:04:44 2024	1718481884	5	9	14	9
Sat Jun 15 20:04:44 2024	1718481884	5	9	14	9
Sat Jun 15 20:04:44 2024	1718481884	5	9	14	9
Sat Jun 15 20:04:44 2024	1718481884	5	10	15	10
Sat Jun 15 20:04:44 2024	1718481884	5	10	15	10
Sat Jun 15 20:04:44 2024	1718481884	5	10	15	10
Sat Jun 15 20:04:44 2024	1718481884	5	10	15	10
Sat Jun 15 20:04:44 2024	1718481884	5	11	16	11
Sat Jun 15 20:04:44 2024	1718481884	5	11	16	11
Sat Jun 15 20:04:44 2024	1718481884	5	11	16	11
Sat Jun 15 20:04:44 2024	1718481884	5	12	16	12
Sat Jun 15 20:04:44 2024	1718481884	5	12	17	12
Sat Jun 15 20:04:44 2024	1718481884	5	12	17	12
Sat Jun 15 20:04:44 2024	1718481884	5	13	17	13
Sat Jun 15 20:04:44 2024	1718481884	5	13	18	13
Sat Jun 15 20:04:44 2024	1718481884	5	13	18	13
